Date/Time,Word Count,de,en,es,es-ES,fr,fr-FR,ro,ro-RO
2023.02.07-10.45.57,34,0,34,0,0,0,0,0,0
2023.02.07-10.52.27,34,0,34,0,0,0,5,0,0
2023.02.07-11.12.07,33,0,33,0,0,0,0,0,0
2023.02.07-11.14.28,33,0,33,0,0,19,0,0,0
2023.06.19-15.35.45,112,0,112,0,0,4,0,0,0
2023.06.19-15.44.12,112,0,112,0,0,66,0,0,0
2023.06.21-16.22.17,201,0,201,0,0,56,0,0,0
2023.06.23-10.41.35,179,0,179,0,0,56,0,0,0
2023.08.11-10.29.09,1052,0,1052,0,0,54,0,0,0
2023.08.11-10.31.35,687,0,687,0,0,54,0,0,0
2023.08.14-10.47.19,685,0,685,0,0,54,0,0,0
2023.08.14-14.33.52,685,0,685,0,0,188,0,0,0
2023.08.14-14.52.15,685,0,685,0,0,189,0,0,0
2023.08.14-15.03.34,685,0,685,0,0,290,0,0,0
2023.08.14-15.10.58,844,0,844,0,0,307,0,0,0
2023.08.18-08.55.51,854,0,854,0,0,401,0,0,0
2023.08.21-10.50.41,861,0,861,0,0,399,0,0,0
2023.08.21-11.00.25,859,0,859,0,0,478,0,0,0
2023.08.23-08.29.01,692,0,692,0,0,418,0,0,0
2023.08.23-08.32.03,551,0,551,0,0,408,0,0,0
2023.08.23-08.33.22,513,0,513,0,0,408,0,0,0
2023.08.23-08.34.40,502,0,502,0,0,408,0,0,0
2023.08.23-08.37.45,501,0,501,0,0,408,0,0,0
2023.08.23-09.19.21,499,0,499,0,0,408,0,0,0
2023.08.28-09.28.21,619,0,619,0,0,405,0,0,0
2023.09.13-10.03.40,745,0,745,0,0,386,0,0,0
2023.09.13-10.21.40,744,0,744,0,0,565,0,0,0
2023.10.08-14.21.53,747,0,747,0,0,485,0,0,0
2023.10.18-16.46.57,759,0,759,0,0,485,0,0,0
2023.10.19-16.17.50,851,0,851,0,0,574,0,0,0
2023.10.24-08.39.18,851,0,851,0,0,618,0,0,0
2023.10.24-10.31.10,853,0,853,0,0,686,0,0,0
2023.12.29-16.06.44,1667,0,1667,0,0,666,0,0,0
2024.01.15-10.09.22,2443,0,2443,0,0,686,0,0,0
2024.01.15-10.54.14,692,0,692,0,0,535,0,0,0
2024.01.15-10.59.27,1008,0,1008,0,0,515,0,0,0
2024.01.15-11.31.05,1008,0,1008,0,0,738,0,0,0
2024.01.15-12.07.47,1008,0,1008,0,0,773,0,0,0
2024.01.15-16.37.10,1008,0,1008,0,0,845,0,0,0
2024.01.15-17.13.28,1003,0,1003,0,0,832,0,0,0
2024.01.15-17.20.10,1023,0,1023,0,0,832,0,0,0
2024.01.22-15.15.04,1057,0,1057,0,0,835,0,0,0
2024.01.22-17.42.08,1057,0,1057,0,0,846,0,0,0
2024.01.22-17.43.40,1058,0,1058,0,0,848,0,0,0
2024.01.22-18.03.47,1058,0,1058,0,0,860,0,0,0
2024.01.22-18.13.25,1060,0,1060,0,0,869,0,0,0
2024.01.22-18.15.15,1060,0,1060,0,0,871,0,0,0
2024.01.22-18.20.58,1061,0,1061,0,0,870,0,0,0
2024.01.22-18.53.24,1061,0,1061,0,0,872,0,0,0
2024.01.23-09.58.03,1061,0,1061,0,0,0,0,0,0
2024.01.23-09.58.34,1061,0,1061,0,0,0,837,0,0
2024.01.23-10.44.16,1061,0,1061,0,0,0,0,0,0
2024.01.23-10.53.47,1061,0,1061,0,0,0,838,0,0
2024.01.23-10.56.12,1061,0,1061,0,0,0,841,0,0
2024.01.23-13.32.45,1061,0,1061,0,0,944,0,0,0
2024.01.23-13.54.36,1061,0,1061,0,0,945,0,0,0
2024.01.23-16.50.42,1112,0,1112,0,0,928,0,0,0
2024.01.23-16.57.02,1112,0,1112,0,0,1000,0,0,0
2024.01.23-17.10.23,1110,0,1110,0,0,997,0,0,0
2024.01.23-17.12.03,1109,0,1109,0,0,999,0,0,0
2024.01.23-17.25.44,1109,0,1109,0,0,1003,0,0,0
2024.01.23-17.30.59,1107,0,1107,0,0,1001,0,0,0
2024.01.23-17.33.34,1109,0,1109,0,0,1001,0,0,0
2024.01.25-14.06.25,1109,0,1109,0,0,996,0,0,0
2024.02.22-10.08.56,1400,0,1400,0,0,818,0,0,0
2024.03.08-15.27.13,1193,0,1193,0,0,761,0,0,0
2024.03.08-16.14.43,1193,0,1193,0,0,789,0,0,0
2024.03.12-16.23.36,1232,0,1232,0,0,839,0,0,0
2024.03.12-17.22.41,1232,0,1232,0,0,868,0,0,0
2024.03.19-13.30.08,1134,0,1134,0,0,856,0,0,0
2024.03.25-11.53.12,1134,0,1134,0,0,1027,0,0,0
2024.03.25-17.09.53,1132,0,1132,0,0,1042,0,0,0
2024.03.25-17.48.20,1132,0,1132,0,0,1045,0,0,0
2024.03.25-17.49.11,1243,0,1243,0,0,1045,0,0,0
2024.03.26-10.03.08,1139,0,1139,0,0,1045,0,0,0
2024.04.02-09.45.26,1139,0,1139,0,0,1052,0,934,0
2024.04.08-15.13.07,1121,0,1121,0,0,1025,0,907,0
2024.04.15-16.32.15,1129,0,1129,0,0,913,0,729,0
2024.04.15-16.38.58,1129,0,1129,0,0,963,0,729,0
2024.04.15-16.43.38,1129,0,1129,0,0,885,0,729,0
2024.04.15-16.52.19,1129,0,1129,0,0,1035,0,729,0
2024.04.15-17.14.11,1121,0,1121,0,0,1084,0,729,0
2024.04.15-17.17.56,1121,0,1121,0,0,1098,0,729,0
2024.04.18-11.14.30,1309,0,1309,0,0,945,0,723,0
2024.04.18-11.15.33,1309,0,1309,0,0,1156,0,723,0
2024.04.19-15.02.25,1304,0,1304,0,0,1163,0,704,0
2024.04.19-15.04.59,1304,0,1304,0,0,1174,0,704,0
2024.04.22-16.03.27,1304,0,1304,0,0,1178,0,704,0
2024.04.23-09.42.22,1304,0,1304,0,0,1177,0,704,0
2024.04.30-11.25.40,1304,417,1304,0,0,1168,0,704,0
2024.04.30-11.26.36,1313,417,1313,0,0,1168,0,704,0
2024.04.30-14.01.25,1295,417,1295,0,0,1157,0,704,0
2024.04.30-14.02.12,1295,417,1295,0,0,1159,0,704,0
2024.05.15-15.44.45,1295,1295,1295,0,0,1168,0,704,0
2024.05.16-09.10.23,1341,1157,1341,0,0,1036,0,704,0
2024.05.16-09.26.28,1341,1157,1341,0,0,1221,0,704,0
2024.05.16-11.12.36,1413,1145,1413,0,0,1209,0,704,0
2024.05.16-11.24.36,1413,1145,1413,0,0,1293,0,704,0
2024.05.16-11.37.28,1413,1413,1413,0,0,1293,0,704,0
2024.06.16-19.09.19,1450,1410,1450,0,0,1290,0,701,0
2024.06.17-13.15.14,1450,1433,1450,0,0,1313,0,724,0
2024.06.19-02.48.37,1477,1448,1477,0,0,1328,0,739,0
